death_id,username,player_name,rank,cause_of_death,brute_damage,brain_damage,fire_damage,oxy_damage,tox_damage,clone_damage,stamina_damage,murder_suspect_username,murder_suspect_player_name
264,Alfred Rhinehart,tapiocasquid,Head of Personnel,Severe Burns,19,0,209,1,0,0,0,Romeo Taylor,belomor

282,Denholm Dugmore,noisy123456,Medical Doctor,Severe Burns,0,0,139,67,0,0,0,,

276,Lilian Faust,jofadda,Beach Bum,Blunt-Force Trauma,221,0,0,0,0,0,0,,

hulze,lock1000

279,Bob Ross,jofadda,Shaft Miner,Blunt-Force Trauma,117,0,0,100,0,0,0,Bob Ross,jofadda

275,Jasmine Khan,vincent112,Captain,Blunt-Force Trauma,133,0,44,48,0,0,0,Abraham Schulze,lock1000

263,Dazza Krist,cheapchrome,Station Engineer,Blunt-Force Trauma,178,0,25,8,0,0,0,Swarly Stinson,headlessgorilla

269,Sally Wallick,ognatharantos,Scientist,Suffocation,92,0,0,124,0,0,0,Sally Wallick,ognatharantos

265,Sammy Mariano,sammym,Curator,Suffocation,10,1,65,137,0,0,0,Jeb Hutton,wondercaz

278,Cormac Huxley,laketrash,"Quartermaster 
                Blood",Blunt-Force Trauma,200,0,49,0,0,0,0,,

266,Lorde Gardner,russofromkarabach,Station Engineer,Blunt-Force Trauma,183,0,8,16,0,0,0,Blue SystemCo Operative #1,mick1299

274,Bob Ross,jofadda,Shaft Miner,Blunt-Force Trauma,205,0,15,2,18,0,0,Bob Ross,jofadda

273,Abraham Schulze,lock1000,Roboticist,Blunt-Force Trauma,210,0,0,1,0,0,0,Jasmine Khan,vincent112

295,Ian Beach,yukfu,Assistant,Blunt-Force Trauma,128,0,45,52,0,0,0,,

288,Tyson Rickley,lock1000,Research Director,Blunt-Force Trauma,59,0,1,5,0,0,0,Iris Ullman,birdty

301,Lilly Howard,peer,Unassigned,Blunt-Force Trauma,0,0,0,0,0,0,0,,

291,Donald Trump,cubetastic,Unassigned,Blunt-Force Trauma,31,0,0,0,0,0,0,,

294,Shannah Potter,birdty,Bartender,Blunt-Force Trauma,30,0,0,0,0,0,0,,

285,Hayden Holmes,jameshaller345,Chemist,Suffocation,51,0,0,99,51,0,0,Hayden Holmes,jameshaller345

293,Cormac Huxley,laketrash,Captain,Severe Burns,0,0,196,3,8,0,0,,

292,Swarly Stinson,headlessgorilla,Chaplain,Blunt-Force Trauma,30,0,0,0,8,0,0,,

296,Lilly Howard,peer,Unassigned,Blunt-Force Trauma,0,0,0,0,0,0,0,,

297,Lilly Howard,peer,Unassigned,Blunt-Force Trauma,0,0,0,0,0,0,0,,

290,Chuky,lock1000,Clown,Suffocation,0,0,2,199,0,0,0,,

283,Dawson Kopper,dawson1917,Assistant,Blunt-Force Trauma,207,0,0,25,0,0,0,Dawson Kopper,dawson1917

289,Tyson Rickley,lock1000,Research Director,Suffocation,0,60,0,200,0,60,0,,

286,Antarctica Libraria,tapiocasquid,Station Engineer,Blunt-Force Trauma,0,0,0,0,0,0,0,,

287,Johnny White,lock1000,Roboticist,Blunt-Force Trauma,160,0,0,67,0,0,0,,

302,Jeb Hutton,wondercaz,Detective,Severe Burns,56,0,125,24,0,0,0,Casey Pearsall,mick1299

